Happiness_score,Dystopia,Freedom_to_make_life_choices,Generosity,Social_support,Personal_Rights,Personal_Freedom
1.456752825,0.501986675,0.269903975,0.371180104,0.755102575,1.976390499,ozgur_degil
1.727931806,0.529451088,0.531048117,0.470523966,0.741937345,1.838909253,ozgur_degil
1.883730748,1.042747156,0.496311255,0.298511133,0.742153727,2.201649385,yari_ozgur
1.764388272,1.032472486,0.399391708,0.376492889,0.750910328,2.093841551,yari_ozgur
1.600397168,0.105260511,0.487164408,0.458296413,0.798355391,2.085421267,ozgur_degil
1.655748815,0.547543207,0.365745314,0.368089881,0.747945206,2.125531685,yari_ozgur
1.655366844,0.89853401,0.49393301,0.164569448,0.63145306,2.063970256,ozgur_degil
1.515127233,0.856965266,0.526821978,0.449450375,0.659214839,1.90731533,yari_ozgur
1.514027728,0.108854405,0.540542433,0.649938694,0.722568567,1.985617433,ozgur_degil
1.520388096,0.393392527,0.54296958,0.244896228,0.71679288,1.720369278,yari_ozgur
1.601808885,0.63710579,0.508818586,0.487164408,0.735160943,2.101823649,ozgur
1.998367052,0.830732844,0.568067359,0.522101092,0.786367852,2.010528383,ozgur_degil
1.98979032,0.715886668,0.578623433,0.534799997,0.808343086,2.269515192,ozgur
1.803523336,0.92187511,0.512421163,0.437961512,0.758213792,2.272072742,ozgur
1.393269975,0.628075184,0.472079052,0.391054739,0.691392569,1.853482461,yari_ozgur
1.624129461,0.860778022,0.487653361,0.392464022,0.743233599,1.991985752,ozgur_degil
2.019824225,0.822858787,0.586045635,0.471043312,0.805827234,1.98637087,ozgur_degil
1.661840591,1.026758185,0.395258522,0.445485891,0.599037455,2.283837991,ozgur
1.86439016,0.835947979,0.554815628,0.377989324,0.775533675,1.916273402,ozgur_degil
1.703474554,0.521765564,0.52382669,0.38749554,0.800924451,2.129293503,yari_ozgur
1.743094297,0.791634127,0.513314759,0.304812452,0.7438799,2.048670036,yari_ozgur
1.691939134,0.679555227,0.568067359,0.364958558,0.751331846,2.151085705,yari_ozgur
1.787249314,0.586674936,0.54296958,0.3346793,0.789591899,2.074021647,yari_ozgur
1.647696625,0.102556588,0.533970396,0.26866797,0.77435279,2.188444228,ozgur
1.762158999,0.777947782,0.516420593,0.31193076,0.728697961,2.243924772,ozgur
1.78557371,0.791180921,0.477199796,0.2054154,0.793907528,2.137151108,ozgur
1.244442737,-0.616186139,0.56695408,0.407457159,0.679365302,1.617768133,yari_ozgur
